x,y,z
360,95,62.0
361,83,62.0
362,83,62.0
363,95,62.0
364,83,62.0
365,83,62.0
366,95,62.0
367,83,62.0
368,83,62.0
369,95,62.0
370,83,62.0
371,83,62.0
372,95,62.0
373,83,62.0
374,83,62.0
375,95,62.0
376,83,62.0
377,83,62.0
378,95,62.0
379,83,62.0
380,83,62.0
381,95,62.0
382,83,62.0
383,83,62.0
384,95,62.0
385,83,62.0
386,83,62.0
387,95,62.0
388,83,62.0
389,83,62.0
390,95,62.0
391,83,62.0
392,83,62.0
393,95,62.0
394,83,62.0
395,83,62.0
396,95,62.0
397,83,62.0
398,83,62.0
399,95,62.0
400,83,62.0
401,83,62.0
402,95,62.0
403,83,62.0
404,83,62.0
405,95,62.0
406,83,62.0
407,83,62.0
408,95,62.0
409,83,62.0
410,83,62.0
411,95,62.0
412,83,62.0
413,83,62.0
414,95,62.0
415,83,62.0
416,83,62.0
417,95,62.0
418,83,62.0
419,83,62.0
420,95,62.0
421,83,62.0
422,83,62.0
423,95,62.0
424,83,62.0
425,83,62.0
426,95,62.0
427,83,62.0
428,83,62.0
429,95,62.0
430,83,62.0
431,83,62.0
432,95,62.0
433,83,62.0
434,83,62.0
435,95,62.0
436,83,62.0
437,83,62.0
438,95,62.0
439,83,62.0
440,83,62.0
441,95,62.0
442,83,62.0
443,83,62.0
444,95,62.0
445,83,62.0
446,83,62.0
447,95,62.0
448,83,62.0
449,83,62.0
450,95,62.0
451,83,62.0
452,83,62.0
453,95,62.0
454,83,62.0
455,83,62.0
456,95,62.0
457,83,62.0
458,83,62.0
459,95,62.0
460,83,62.0
461,83,62.0
462,95,62.0
463,83,62.0
464,83,62.0
465,95,62.0
466,83,62.0
467,83,62.0
468,93,62.0
469,81,62.0
470,81,62.0
471,93,62.0
472,81,62.0
473,81,62.0
474,93,62.0
475,81,62.0
476,81,62.0
477,93,62.0
478,81,62.0
479,81,62.0
480,92,62.0
481,80,62.0
482,80,62.0
483,92,62.0
484,80,62.0
485,80,62.0
486,92,62.0
487,80,62.0
488,80,62.0
489,92,62.0
490,80,62.0
491,80,62.0
492,90,62.0
493,78,62.0
494,78,62.0
495,90,62.0
496,78,62.0
497,78,62.0
498,90,62.0
499,78,62.0
500,78,62.0
501,90,62.0
502,78,62.0
503,78,62.0
504,83,62.0
505,71,62.0
506,71,62.0
507,83,62.0
508,71,62.0
509,71,62.0
510,83,62.0
511,71,62.0
512,71,62.0
513,83,62.0
514,71,62.0
515,71,62.0
516,81,62.0
517,69,62.0
518,69,62.0
519,81,62.0
520,69,62.0
521,69,62.0
522,81,62.0
523,69,62.0
524,69,62.0
525,81,62.0
526,69,62.0
527,69,62.0
528,80,62.0
529,68,62.0
530,68,62.0
531,80,62.0
532,68,62.0
533,68,62.0
534,80,62.0
535,68,62.0
536,68,62.0
537,80,62.0
538,68,62.0
539,68,62.0
540,78,62.0
541,66,62.0
542,66,62.0
543,78,62.0
544,66,62.0
545,66,62.0
546,78,62.0
547,66,62.0
548,66,62.0
549,78,62.0
550,66,62.0
551,66,62.0
552,71,62.0
553,59,62.0
554,59,62.0
555,71,62.0
556,59,62.0
557,59,62.0
558,71,62.0
559,59,62.0
560,59,62.0
561,71,62.0
562,59,62.0
563,59,62.0
564,69,62.0
565,57,62.0
566,57,62.0
567,69,62.0
568,57,62.0
569,57,62.0
570,69,62.0
571,57,62.0
572,57,62.0
573,69,62.0
574,57,62.0
575,57,62.0
576,68,62.0
577,56,62.0
578,56,62.0
579,68,62.0
580,56,62.0
581,56,62.0
582,68,62.0
583,56,62.0
584,56,62.0
585,68,62.0
586,56,62.0
587,56,62.0
588,66,62.0
589,54,62.0
590,54,62.0
591,66,62.0
592,54,62.0
593,54,62.0
594,66,62.0
595,54,62.0
596,54,62.0
597,66,62.0
598,54,62.0
599,54,62.0
648,72,88.0
649,72,88.0
650,72,88.0
651,72,88.0
652,72,88.0
653,72,88.0
654,72,88.0
655,72,88.0
656,72,88.0
657,72,88.0
658,72,88.0
659,72,88.0
660,72,88.0
661,72,88.0
662,72,88.0
663,72,88.0
664,72,88.0
665,72,88.0
666,72,88.0
667,72,88.0
668,72,88.0
669,72,88.0
670,72,88.0
671,72,88.0
672,72,88.0
673,72,88.0
674,72,88.0
675,72,88.0
676,72,88.0
677,72,88.0
678,72,88.0
679,72,88.0
680,72,88.0
681,72,88.0
682,72,88.0
683,72,88.0
684,72,88.0
685,72,88.0
686,72,88.0
687,72,88.0
688,72,88.0
689,72,88.0
690,72,88.0
691,72,88.0
692,72,88.0
693,72,88.0
694,72,88.0
695,72,88.0
696,72,88.0
697,72,88.0
698,72,88.0
699,72,88.0
700,72,88.0
701,72,88.0
702,72,88.0
703,72,88.0
704,72,88.0
705,72,88.0
706,72,88.0
707,72,88.0
708,74,75.0
709,74,75.0
710,74,75.0
711,74,75.0
712,74,75.0
713,74,75.0
714,74,75.0
715,74,75.0
716,74,75.0
717,74,75.0
718,74,75.0
719,74,75.0
720,77,88.0
721,77,88.0
722,77,88.0
723,77,88.0
724,77,88.0
725,77,88.0
726,77,88.0
727,77,88.0
728,77,88.0
729,77,88.0
730,77,88.0
731,77,88.0
732,77,88.0
733,77,88.0
734,77,88.0
735,77,88.0
736,77,88.0
737,77,88.0
738,77,88.0
739,77,88.0
740,77,88.0
741,77,88.0
742,77,88.0
743,77,88.0
744,77,88.0
745,77,88.0
746,77,88.0
747,77,88.0
748,77,88.0
749,77,88.0
750,77,88.0
751,77,88.0
752,75,88.0
753,75,88.0
754,75,88.0
755,75,88.0
756,75,88.0
757,75,88.0
758,75,88.0
759,74,75.0
760,74,75.0
761,74,75.0
762,74,75.0
763,74,75.0
764,74,75.0
765,74,75.0
766,74,75.0
767,74,75.0
768,72,75.0
769,72,75.0
770,72,75.0
771,72,75.0
772,72,75.0
773,72,75.0
774,72,75.0
775,72,75.0
776,72,75.0
777,72,75.0
778,72,75.0
779,72,75.0
780,70,62.0
781,70,62.0
782,70,62.0
783,70,62.0
784,70,62.0
785,70,62.0
786,70,62.0
787,70,62.0
788,70,62.0
789,70,62.0
790,70,62.0
791,70,62.0
792,68,62.0
793,68,62.0
794,68,62.0
795,68,62.0
796,68,62.0
797,68,62.0
798,68,62.0
799,68,62.0
800,68,62.0
801,68,62.0
802,68,62.0
803,68,62.0
804,72,62.0
805,72,62.0
806,72,62.0
807,72,62.0
808,72,62.0
809,72,62.0
810,72,62.0
811,72,62.0
812,72,62.0
813,72,62.0
814,72,62.0
815,72,62.0
816,72,62.0
817,72,62.0
818,72,62.0
819,72,62.0
820,72,62.0
821,72,62.0
822,72,62.0
823,72,62.0
824,72,62.0
825,72,62.0
826,72,62.0
827,72,62.0
828,74,62.0
829,74,62.0
830,74,62.0
831,74,62.0
832,74,62.0
833,74,62.0
834,74,62.0
835,74,62.0
836,74,62.0
837,74,62.0
838,74,62.0
839,74,62.0
840,77,62.0
841,77,62.0
842,77,62.0
843,77,62.0
844,77,62.0
845,77,62.0
846,77,62.0
847,77,62.0
848,75,62.0
849,75,62.0
850,75,62.0
851,75,62.0
852,75,62.0
853,75,62.0
854,75,62.0
855,74,62.0
856,74,62.0
857,74,62.0
858,74,62.0
859,74,62.0
860,74,62.0
861,74,62.0
862,74,62.0
863,74,62.0
888,95,62.0
889,83,62.0
890,83,62.0
891,95,62.0
892,83,62.0
893,83,62.0
894,95,62.0
895,83,62.0
896,83,62.0
897,95,62.0
898,83,62.0
899,83,62.0
900,95,62.0
901,83,62.0
902,83,62.0
903,95,62.0
904,83,62.0
905,83,62.0
906,95,62.0
907,83,62.0
908,83,62.0
909,95,62.0
910,83,62.0
911,83,62.0
912,95,62.0
913,83,62.0
914,83,62.0
915,95,62.0
916,83,62.0
917,83,62.0
918,95,62.0
919,83,62.0
920,83,62.0
921,95,62.0
922,83,62.0
923,83,62.0
924,95,62.0
925,83,62.0
926,83,62.0
927,95,62.0
928,83,62.0
929,83,62.0
930,95,62.0
931,83,62.0
932,83,62.0
933,95,62.0
934,83,62.0
935,83,62.0
936,95,62.0
937,83,62.0
938,83,62.0
939,95,62.0
940,83,62.0
941,83,62.0
942,95,62.0
943,83,62.0
944,83,62.0
945,95,62.0
946,83,62.0
947,83,62.0
948,93,62.0
949,81,62.0
950,81,62.0
951,93,62.0
952,81,62.0
953,81,62.0
954,93,62.0
955,81,62.0
956,81,62.0
957,93,62.0
958,81,62.0
959,81,62.0
960,92,62.0
961,80,62.0
962,80,62.0
963,92,62.0
964,80,62.0
965,80,62.0
966,92,62.0
967,80,62.0
968,80,62.0
969,92,62.0
970,80,62.0
971,80,62.0
972,90,62.0
973,78,62.0
974,78,62.0
975,90,62.0
976,78,62.0
977,78,62.0
978,90,62.0
979,78,62.0
980,78,62.0
981,90,62.0
982,78,62.0
983,78,62.0
984,83,62.0
985,71,62.0
986,71,62.0
987,83,62.0
988,71,62.0
989,71,62.0
990,83,62.0
991,71,62.0
992,71,62.0
993,83,62.0
994,71,62.0
995,71,62.0
996,81,62.0
997,69,62.0
998,69,62.0
999,81,62.0
1000,69,62.0
1001,69,62.0
1002,81,62.0
