x,y,z
204,49,75.0
204,61,75.0
205,49,75.0
205,61,75.0
206,49,75.0
206,61,75.0
207,49,75.0
207,61,75.0
208,49,75.0
208,61,75.0
209,49,75.0
209,61,75.0
210,49,75.0
210,61,75.0
211,49,75.0
211,61,75.0
212,49,75.0
212,61,75.0
213,49,75.0
213,61,75.0
214,49,75.0
214,61,75.0
215,49,75.0
215,61,75.0
216,49,75.0
216,61,75.0
217,49,75.0
217,61,75.0
218,49,75.0
218,61,75.0
219,49,75.0
219,61,75.0
220,49,75.0
220,61,75.0
221,49,75.0
221,61,75.0
222,49,75.0
222,61,75.0
223,49,75.0
223,61,75.0
224,49,75.0
224,61,75.0
225,49,75.0
225,61,75.0
226,49,75.0
226,61,75.0
227,49,75.0
227,61,75.0
228,49,75.0
228,61,75.0
229,49,75.0
229,61,75.0
230,49,75.0
230,61,75.0
231,49,75.0
231,61,75.0
232,49,75.0
232,61,75.0
233,49,75.0
233,61,75.0
234,49,75.0
234,61,75.0
235,49,75.0
235,61,75.0
236,49,75.0
236,61,75.0
237,49,75.0
237,61,75.0
238,49,75.0
238,61,75.0
239,49,75.0
239,61,75.0
240,54,75.0
240,66,75.0
241,54,75.0
241,66,75.0
242,54,75.0
242,66,75.0
243,54,75.0
243,66,75.0
244,54,75.0
244,66,75.0
245,54,75.0
245,66,75.0
246,54,75.0
246,66,75.0
247,54,75.0
247,66,75.0
248,54,75.0
248,66,75.0
249,54,75.0
249,66,75.0
250,54,75.0
250,66,75.0
251,54,75.0
251,66,75.0
252,54,75.0
252,66,75.0
253,54,75.0
253,66,75.0
254,54,75.0
254,66,75.0
255,54,75.0
255,66,75.0
256,54,75.0
256,66,75.0
257,54,75.0
257,66,75.0
258,54,75.0
258,66,75.0
259,54,75.0
259,66,75.0
260,54,75.0
260,66,75.0
261,54,75.0
261,66,75.0
262,54,75.0
262,66,75.0
263,54,75.0
263,66,75.0
264,56,75.0
264,68,75.0
265,56,75.0
265,68,75.0
266,56,75.0
266,68,75.0
267,56,75.0
267,68,75.0
268,56,75.0
268,68,75.0
269,56,75.0
269,68,75.0
270,56,75.0
270,68,75.0
271,56,75.0
271,68,75.0
272,56,75.0
272,68,75.0
273,56,75.0
273,68,75.0
274,56,75.0
274,68,75.0
275,56,75.0
275,68,75.0
276,56,75.0
276,68,75.0
277,56,75.0
277,68,75.0
278,56,75.0
278,68,75.0
279,56,75.0
279,68,75.0
280,56,75.0
280,68,75.0
281,56,75.0
281,68,75.0
282,56,75.0
282,68,75.0
283,56,75.0
283,68,75.0
284,56,75.0
284,68,75.0
285,56,75.0
285,68,75.0
286,56,75.0
286,68,75.0
287,56,75.0
287,68,75.0
288,59,75.0
288,71,75.0
289,59,75.0
289,71,75.0
290,59,75.0
290,71,75.0
291,59,75.0
291,71,75.0
292,59,75.0
292,71,75.0
293,59,75.0
293,71,75.0
294,59,75.0
294,71,75.0
295,59,75.0
295,71,75.0
296,59,75.0
296,71,75.0
297,59,75.0
297,71,75.0
298,59,75.0
298,71,75.0
299,59,75.0
299,71,75.0
300,59,75.0
300,71,75.0
301,59,75.0
301,71,75.0
302,59,75.0
302,71,75.0
303,59,75.0
303,71,75.0
304,59,75.0
304,71,75.0
305,59,75.0
305,71,75.0
306,59,75.0
306,71,75.0
307,59,75.0
307,71,75.0
308,59,75.0
308,71,75.0
309,59,75.0
309,71,75.0
310,59,75.0
310,71,75.0
311,59,75.0
311,71,75.0
312,61,75.0
312,73,75.0
313,61,75.0
313,73,75.0
314,61,75.0
314,73,75.0
315,61,75.0
315,73,75.0
316,61,75.0
316,73,75.0
317,61,75.0
317,73,75.0
318,61,75.0
318,73,75.0
319,61,75.0
319,73,75.0
320,61,75.0
320,73,75.0
321,61,75.0
321,73,75.0
322,61,75.0
322,73,75.0
323,61,75.0
323,73,75.0
324,61,75.0
324,73,75.0
325,61,75.0
325,73,75.0
326,61,75.0
326,73,75.0
327,61,75.0
327,73,75.0
328,61,75.0
328,73,75.0
329,61,75.0
329,73,75.0
330,61,75.0
330,73,75.0
331,61,75.0
331,73,75.0
332,61,75.0
332,73,75.0
333,61,75.0
333,73,75.0
334,61,75.0
334,73,75.0
335,61,75.0
335,73,75.0
336,66,75.0
336,78,75.0
337,66,75.0
337,78,75.0
338,66,75.0
338,78,75.0
339,66,75.0
339,78,75.0
340,66,75.0
340,78,75.0
341,66,75.0
341,78,75.0
342,66,75.0
342,78,75.0
343,66,75.0
343,78,75.0
344,66,75.0
344,78,75.0
345,66,75.0
345,78,75.0
346,66,75.0
346,78,75.0
347,66,75.0
347,78,75.0
348,66,75.0
348,78,75.0
349,66,75.0
349,78,75.0
350,66,75.0
350,78,75.0
351,66,75.0
351,78,75.0
352,66,75.0
352,78,75.0
353,66,75.0
353,78,75.0
354,66,75.0
354,78,75.0
355,66,75.0
355,78,75.0
356,66,75.0
356,78,75.0
357,66,75.0
357,78,75.0
358,66,75.0
358,78,75.0
359,66,75.0
359,78,75.0
384,68,75.0
385,68,75.0
386,68,75.0
387,69,75.0
388,69,75.0
389,69,75.0
390,69,75.0
391,69,75.0
392,69,75.0
393,69,75.0
394,69,75.0
395,69,75.0
396,69,75.0
397,69,75.0
398,69,75.0
399,69,75.0
400,69,75.0
401,69,75.0
402,69,75.0
403,69,75.0
404,69,75.0
405,69,75.0
406,69,75.0
407,69,75.0
408,69,75.0
409,69,75.0
410,69,75.0
411,69,75.0
412,69,75.0
413,69,75.0
414,69,75.0
415,69,75.0
416,69,75.0
417,69,75.0
418,69,75.0
419,69,75.0
420,69,75.0
421,69,75.0
422,69,75.0
423,69,75.0
424,69,75.0
425,69,75.0
426,69,75.0
427,69,75.0
428,69,75.0
429,69,75.0
430,69,75.0
431,69,75.0
432,68,88.0
433,68,88.0
434,68,88.0
435,68,88.0
436,68,88.0
437,68,88.0
438,68,88.0
439,68,88.0
440,68,88.0
441,68,88.0
442,68,88.0
443,68,88.0
444,68,88.0
445,68,88.0
446,68,88.0
447,68,88.0
448,68,88.0
449,68,88.0
450,68,88.0
451,68,88.0
452,68,88.0
453,68,88.0
454,68,88.0
455,68,88.0
456,68,88.0
457,68,88.0
458,68,88.0
459,66,88.0
460,66,88.0
461,66,88.0
462,66,88.0
463,66,88.0
464,66,88.0
465,66,88.0
466,66,88.0
467,66,88.0
468,66,88.0
469,66,88.0
470,66,88.0
471,66,88.0
472,66,88.0
473,66,88.0
474,66,88.0
475,66,88.0
476,66,88.0
477,66,88.0
478,66,88.0
479,66,88.0
480,66,88.0
481,66,88.0
482,66,88.0
483,66,88.0
484,66,88.0
485,66,88.0
486,66,88.0
487,66,88.0
488,66,88.0
489,66,88.0
490,66,88.0
491,66,88.0
492,66,88.0
493,66,88.0
494,66,88.0
495,66,88.0
496,66,88.0
497,66,88.0
498,66,88.0
499,66,88.0
500,66,88.0
501,66,88.0
502,66,88.0
503,66,88.0
648,60,88.0
649,60,88.0
650,60,88.0
651,60,88.0
652,60,88.0
653,60,88.0
654,60,88.0
655,60,88.0
656,60,88.0
657,60,88.0
658,60,88.0
659,60,88.0
660,60,88.0
661,60,88.0
662,60,88.0
663,60,88.0
664,60,88.0
665,60,88.0
666,60,88.0
667,60,88.0
668,60,88.0
669,60,88.0
670,60,88.0
671,60,88.0
672,60,88.0
673,60,88.0
674,60,88.0
675,60,88.0
676,60,88.0
677,60,88.0
678,60,88.0
679,60,88.0
680,60,88.0
681,60,88.0
682,60,88.0
683,60,88.0
684,60,88.0
685,60,88.0
686,60,88.0
687,60,88.0
688,60,88.0
689,60,88.0
690,60,88.0
691,60,88.0
692,60,88.0
693,60,88.0
694,60,88.0
695,60,88.0
696,60,88.0
697,60,88.0
698,60,88.0
699,60,88.0
700,60,88.0
701,60,88.0
702,60,88.0
703,60,88.0
704,60,88.0
705,60,88.0
706,60,88.0
707,60,88.0
708,62,75.0
709,62,75.0
710,62,75.0
711,62,75.0
712,62,75.0
713,62,75.0
714,62,75.0
715,62,75.0
716,62,75.0
717,62,75.0
718,62,75.0
719,62,75.0
720,65,88.0
721,65,88.0
722,65,88.0
723,65,88.0
724,65,88.0
725,65,88.0
726,65,88.0
727,65,88.0
728,65,88.0
729,65,88.0
730,65,88.0
731,65,88.0
732,65,88.0
733,65,88.0
734,65,88.0
735,65,88.0
736,65,88.0
737,65,88.0
738,65,88.0
739,65,88.0
740,65,88.0
741,65,88.0
742,65,88.0
743,65,88.0
744,65,88.0
745,65,88.0
746,65,88.0
747,65,88.0
748,65,88.0
749,65,88.0
750,65,88.0
751,65,88.0
752,63,88.0
753,63,88.0
754,63,88.0
755,63,88.0
756,63,88.0
757,63,88.0
758,63,88.0
759,62,75.0
760,62,75.0
761,62,75.0
762,62,75.0
763,62,75.0
764,62,75.0
765,62,75.0
766,62,75.0
767,62,75.0
768,60,75.0
769,60,75.0
770,60,75.0
771,60,75.0
772,60,75.0
773,60,75.0
774,60,75.0
775,60,75.0
776,60,75.0
777,60,75.0
778,60,75.0
779,60,75.0
780,58,62.0
781,58,62.0
782,58,62.0
783,58,62.0
784,58,62.0
785,58,62.0
786,58,62.0
787,58,62.0
788,58,62.0
789,58,62.0
790,58,62.0
791,58,62.0
792,56,62.0
793,56,62.0
794,56,62.0
795,56,62.0
796,56,62.0
797,56,62.0
798,56,62.0
799,56,62.0
800,56,62.0
801,56,62.0
802,56,62.0
803,56,62.0
804,60,62.0
805,60,62.0
806,60,62.0
807,60,62.0
808,60,62.0
809,60,62.0
810,60,62.0
811,60,62.0
812,60,62.0
813,60,62.0
814,60,62.0
815,60,62.0
816,60,62.0
817,60,62.0
818,60,62.0
819,60,62.0
820,60,62.0
821,60,62.0
822,60,62.0
823,60,62.0
824,60,62.0
825,60,62.0
826,60,62.0
827,60,62.0
828,62,62.0
829,62,62.0
830,62,62.0
831,62,62.0
832,62,62.0
833,62,62.0
834,62,62.0
835,62,62.0
836,62,62.0
837,62,62.0
838,62,62.0
839,62,62.0
840,65,62.0
841,65,62.0
842,65,62.0
843,65,62.0
844,65,62.0
845,65,62.0
846,65,62.0
847,65,62.0
848,63,62.0
849,63,62.0
850,63,62.0
851,63,62.0
852,63,62.0
853,63,62.0
854,63,62.0
855,62,62.0
856,62,62.0
857,62,62.0
858,62,62.0
859,62,62.0
860,62,62.0
861,62,62.0
862,62,62.0
863,62,62.0
864,60,62.0
864,72,62.0
865,60,62.0
865,72,62.0
866,60,62.0
866,72,62.0
867,60,62.0
867,72,62.0
868,60,62.0
868,72,62.0
869,60,62.0
869,72,62.0
870,60,62.0
870,72,62.0
871,60,62.0
871,72,62.0
872,60,62.0
872,72,62.0
873,60,62.0
873,72,62.0
874,60,62.0
874,72,62.0
875,60,62.0
875,72,62.0
876,60,62.0
876,72,62.0
877,60,62.0
877,72,62.0
878,60,62.0
878,72,62.0
879,60,62.0
879,72,62.0
880,60,62.0
880,72,62.0
881,60,62.0
881,72,62.0
882,60,62.0
882,72,62.0
883,60,62.0
883,72,62.0
884,60,62.0
884,72,62.0
885,60,62.0
885,72,62.0
886,60,62.0
886,72,62.0
887,60,62.0
887,72,62.0
912,53,88.0
912,59,88.0
912,62,88.0
913,53,88.0
913,59,88.0
913,62,88.0
914,53,88.0
914,59,88.0
914,62,88.0
915,53,88.0
915,59,88.0
915,62,88.0
916,53,88.0
916,59,88.0
916,62,88.0
917,53,88.0
917,59,88.0
917,62,88.0
918,53,88.0
918,59,88.0
918,62,88.0
919,53,88.0
919,59,88.0
919,62,88.0
920,53,88.0
920,59,88.0
920,62,88.0
921,53,88.0
921,59,88.0
921,62,88.0
922,53,88.0
922,59,88.0
922,62,88.0
923,53,88.0
923,59,88.0
923,62,88.0
924,53,88.0
924,59,88.0
924,62,88.0
925,53,88.0
925,59,88.0
925,62,88.0
926,53,88.0
926,59,88.0
926,62,88.0
927,53,88.0
927,59,88.0
927,62,88.0
928,53,88.0
928,59,88.0
928,62,88.0
929,53,88.0
929,59,88.0
929,62,88.0
930,53,88.0
930,59,88.0
930,62,88.0
931,53,88.0
931,59,88.0
931,62,88.0
932,53,88.0
932,59,88.0
932,62,88.0
933,53,88.0
933,59,88.0
933,62,88.0
934,53,88.0
934,59,88.0
934,62,88.0
935,53,88.0
935,59,88.0
935,62,88.0
936,54,62.0
936,59,62.0
936,63,62.0
937,54,62.0
937,59,62.0
937,63,62.0
938,54,62.0
938,59,62.0
938,63,62.0
939,57,88.0
939,60,88.0
939,64,88.0
940,57,88.0
940,60,88.0
940,64,88.0
941,57,88.0
941,60,88.0
941,64,88.0
942,57,88.0
942,60,88.0
942,64,88.0
943,57,88.0
943,60,88.0
943,64,88.0
944,57,88.0
944,60,88.0
944,64,88.0
945,57,88.0
945,60,88.0
945,64,88.0
946,57,88.0
946,60,88.0
946,64,88.0
947,57,88.0
947,60,88.0
947,64,88.0
948,57,88.0
948,60,88.0
948,64,88.0
949,57,88.0
949,60,88.0
949,64,88.0
950,57,88.0
950,60,88.0
950,64,88.0
951,57,88.0
951,60,88.0
951,64,88.0
952,57,88.0
952,60,88.0
952,64,88.0
953,57,88.0
953,60,88.0
953,64,88.0
954,57,88.0
954,60,88.0
954,64,88.0
955,57,88.0
955,60,88.0
955,64,88.0
956,57,88.0
956,60,88.0
956,64,88.0
957,57,88.0
957,60,88.0
957,64,88.0
958,57,88.0
958,60,88.0
958,64,88.0
959,57,88.0
959,60,88.0
959,64,88.0
960,57,88.0
960,60,88.0
960,64,88.0
961,57,88.0
961,60,88.0
961,64,88.0
962,57,88.0
962,60,88.0
962,64,88.0
963,57,88.0
963,60,88.0
963,64,88.0
964,57,88.0
964,60,88.0
964,64,88.0
965,57,88.0
965,60,88.0
965,64,88.0
966,57,88.0
966,60,88.0
966,64,88.0
967,57,88.0
967,60,88.0
967,64,88.0
968,57,88.0
968,60,88.0
968,64,88.0
969,57,88.0
969,60,88.0
969,64,88.0
970,57,88.0
970,60,88.0
970,64,88.0
971,57,88.0
971,60,88.0
971,64,88.0
972,57,88.0
972,60,88.0
972,64,88.0
973,57,88.0
973,60,88.0
973,64,88.0
974,57,88.0
974,60,88.0
974,64,88.0
975,57,88.0
975,60,88.0
975,64,88.0
976,57,88.0
976,60,88.0
976,64,88.0
977,57,88.0
977,60,88.0
977,64,88.0
978,57,88.0
978,60,88.0
978,64,88.0
979,57,88.0
979,60,88.0
979,64,88.0
980,57,88.0
980,60,88.0
980,64,88.0
981,57,88.0
981,60,88.0
981,64,88.0
982,57,88.0
982,60,88.0
982,64,88.0
983,57,88.0
983,60,88.0
983,64,88.0
1176,61,62.0
1177,61,62.0
1178,61,62.0
1179,61,62.0
1180,61,62.0
1181,61,62.0
1182,61,62.0
1183,61,62.0
1184,61,62.0
1185,61,62.0
1186,61,62.0
1187,61,62.0
1188,61,62.0
1189,61,62.0
1190,61,62.0
1191,61,62.0
1192,61,62.0
1193,61,62.0
1194,61,62.0
1195,61,62.0
1196,61,62.0
1197,61,62.0
1198,61,62.0
1199,61,62.0
1200,66,62.0
1201,66,62.0
1202,66,62.0
1203,66,62.0
1204,66,62.0
1205,66,62.0
1206,66,62.0
1207,66,62.0
1208,66,62.0
1209,66,62.0
1210,66,62.0
1211,66,62.0
1212,66,62.0
1213,66,62.0
1214,66,62.0
1215,66,62.0
1216,66,62.0
1217,66,62.0
1218,66,62.0
1219,66,62.0
1220,66,62.0
1221,66,62.0
1222,66,62.0
1223,66,62.0
1224,68,62.0
1225,68,62.0
1226,68,62.0
1227,68,62.0
1228,68,62.0
1229,68,62.0
1230,68,62.0
1231,68,62.0
1232,68,62.0
1233,68,62.0
1234,68,62.0
1235,68,62.0
1236,68,62.0
1237,68,62.0
1238,68,62.0
1239,68,62.0
1240,68,62.0
1241,68,62.0
1242,68,62.0
1243,68,62.0
1244,68,62.0
1245,68,62.0
1246,68,62.0
1247,68,62.0
1248,66,75.0
1249,66,75.0
1250,66,75.0
1251,68,88.0
1252,68,88.0
1253,68,88.0
1254,68,88.0
1255,68,88.0
1256,68,88.0
1257,68,88.0
1258,68,88.0
1259,68,88.0
1260,68,88.0
1261,68,88.0
1262,68,88.0
1263,68,88.0
1264,68,88.0
1265,68,88.0
1266,68,88.0
1267,68,88.0
1268,68,88.0
1269,68,88.0
1270,68,88.0
1271,68,88.0
1272,68,88.0
1273,68,88.0
1274,68,88.0
1275,68,88.0
1276,68,88.0
1277,68,88.0
1278,68,88.0
1279,68,88.0
1280,68,88.0
1281,68,88.0
1282,68,88.0
1283,68,88.0
1284,68,114.0
1285,68,114.0
1286,68,114.0
1287,68,114.0
1288,68,114.0
1289,68,114.0
1290,68,114.0
1291,68,114.0
1292,68,114.0
1293,68,114.0
1294,68,114.0
1295,68,114.0
1296,68,114.0
1297,68,114.0
1298,68,114.0
1299,68,114.0
1300,68,114.0
1301,68,114.0
1302,68,114.0
1303,68,114.0
1304,68,114.0
1305,68,114.0
1306,68,114.0
1307,68,114.0
1308,68,114.0
1309,68,114.0
1310,68,114.0
1311,68,114.0
1312,68,114.0
1313,68,114.0
1314,68,114.0
1315,68,114.0
1316,68,114.0
1317,68,114.0
1318,68,114.0
1319,68,114.0
1392,66,75.0
1393,66,75.0
1394,66,75.0
1395,68,88.0
1396,68,88.0
1397,68,88.0
1398,68,88.0
1399,68,88.0
1400,68,88.0
1401,68,88.0
1402,68,88.0
1403,68,88.0
1404,68,88.0
1405,68,88.0
1406,68,88.0
1407,68,88.0
1408,68,88.0
1409,68,88.0
1410,68,88.0
1411,68,88.0
1412,68,88.0
1413,68,88.0
1414,68,88.0
1415,68,88.0
1416,68,88.0
1417,68,88.0
1418,68,88.0
1419,68,88.0
1420,68,88.0
1421,68,88.0
1422,68,88.0
1423,68,88.0
1424,68,88.0
1425,68,88.0
1426,68,88.0
1427,68,88.0
1428,68,114.0
1429,68,114.0
1430,68,114.0
1431,68,114.0
1432,68,114.0
1433,68,114.0
1434,68,114.0
1435,68,114.0
1436,68,114.0
1437,68,114.0
1438,68,114.0
1439,68,114.0
1440,68,114.0
1441,68,114.0
1442,68,114.0
1443,68,114.0
1444,68,114.0
1445,68,114.0
1446,68,114.0
1447,68,114.0
1448,68,114.0
1449,68,114.0
1450,68,114.0
1451,68,114.0
1452,68,114.0
1453,68,114.0
1454,68,114.0
1455,68,114.0
1456,68,114.0
1457,68,114.0
